country,score,gdp,life_exp,freedom,gov_corr,generosity,year
Finland,7.632,1.305,0.874,0.681,0.393,0.202,2018
Norway,7.594,1.456,0.861,0.686,0.34,0.286,2018
Denmark,7.555,1.351,0.868,0.683,0.408,0.284,2018
Iceland,7.495,1.343,0.914,0.677,0.138,0.353,2018
Switzerland,7.487,1.42,0.927,0.66,0.357,0.256,2018
Netherlands,7.441,1.361,0.878,0.638,0.295,0.333,2018
Canada,7.328,1.33,0.896,0.653,0.291,0.321,2018
New Zealand,7.324,1.268,0.876,0.669,0.389,0.365,2018
Sweden,7.314,1.355,0.913,0.659,0.383,0.285,2018
Australia,7.272,1.34,0.91,0.647,0.302,0.361,2018
United Kingdom,7.19,1.244,0.888,0.464,0.082,0.262,2018
Austria,7.139,1.341,0.891,0.617,0.224,0.242,2018
Costa Rica,7.072,1.01,0.817,0.632,0.101,0.143,2018
Ireland,6.977,1.448,0.876,0.614,0.306,0.307,2018
Germany,6.965,1.34,0.861,0.586,0.28,0.273,2018
Belgium,6.927,1.324,0.894,0.583,0.24,0.188,2018
Luxembourg,6.91,1.576,0.896,0.632,0.321,0.196,2018
United States,6.886,1.398,0.819,0.547,0.133,0.291,2018
Israel,6.814,1.301,0.883,0.533,0.272,0.354,2018
United Arab Emirates,6.774,2.096,0.67,0.284,N/A,0.186,2018
Czech Republic,6.711,1.233,0.854,0.543,0.034,0.064,2018
Malta,6.627,1.27,0.884,0.645,0.142,0.376,2018
France,6.489,1.293,0.908,0.52,0.176,0.098,2018
Mexico,6.488,1.038,0.761,0.479,0.095,0.069,2018
Chile,6.476,1.131,0.808,0.431,0.061,0.197,2018
Taiwan,6.441,1.365,0.857,0.418,0.078,0.151,2018
Panama,6.43,1.112,0.759,0.597,0.063,0.125,2018
Brazil,6.419,0.986,0.675,0.493,0.088,0.11,2018
Argentina,6.388,1.073,0.744,0.57,0.054,0.062,2018
Guatemala,6.382,0.781,0.608,0.604,0.071,0.179,2018
Uruguay,6.379,1.093,0.771,0.625,0.155,0.13,2018
Qatar,6.374,1.649,0.748,0.654,0.171,0.256,2018
Saudi Arabia,6.371,1.379,0.633,0.509,0.127,0.098,2018
Singapore,6.343,1.529,1.008,0.631,0.457,0.261,2018
Malaysia,6.322,1.161,0.669,0.356,0.059,0.311,2018
Spain,6.31,1.251,0.965,0.449,0.074,0.142,2018
Colombia,6.26,0.96,0.635,0.531,0.039,0.099,2018
Trinidad & Tobago,6.192,1.223,0.564,0.575,0.019,0.171,2018
Slovakia,6.173,1.21,0.776,0.354,0.014,0.118,2018
