country,score,gdp,life_exp,freedom,gov_corr,generosity,year
Denmark,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,2016
Switzerland,7.509,1.52733,0.86303,0.58557,0.41203,0.28083,2016
Iceland,7.501,1.42666,0.86733,0.56624,0.14975,0.47678,2016
Norway,7.498,1.57744,0.79579,0.59609,0.35776,0.37895,2016
Finland,7.413,1.40598,0.81091,0.57104,0.41004,0.25492,2016
Canada,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,2016
Netherlands,7.339,1.46468,0.81231,0.55211,0.29927,0.47416,2016
New Zealand,7.334,1.36066,0.83096,0.58147,0.41904,0.49401,2016
Australia,7.313,1.44443,0.8512,0.56837,0.32331,0.47407,2016
Sweden,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,2016
Israel,7.267,1.33766,0.84917,0.36432,0.08728,0.32288,2016
Austria,7.119,1.45038,0.80565,0.54355,0.21348,0.32865,2016
United States,7.104,1.50796,0.779,0.48163,0.14868,0.41077,2016
Costa Rica,7.087,1.06879,0.76146,0.55225,0.10547,0.22553,2016
Puerto Rico,7.039,1.35943,0.77758,0.46823,0.12275,0.22202,2016
Germany,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,2016
Brazil,6.952,1.08754,0.61415,0.40425,0.14166,0.15776,2016
Belgium,6.929,1.42539,0.81959,0.51354,0.26248,0.2424,2016
Ireland,6.907,1.48341,0.81455,0.54008,0.29754,0.44963,2016
Luxembourg,6.871,1.69752,0.84542,0.5487,0.35329,0.27571,2016
Mexico,6.778,1.11508,0.71143,0.37709,0.18355,0.11735,2016
Singapore,6.739,1.64555,0.94719,0.4877,0.46987,0.32706,2016
United Kingdom,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,2016
Chile,6.705,1.2167,0.81883,0.37789,0.11451,0.31595,2016
Panama,6.701,1.18306,0.70835,0.48927,0.08423,0.2418,2016
Argentina,6.65,1.15137,0.69711,0.42284,0.07296,0.10989,2016
Czech Republic,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,2016
United Arab Emirates,6.573,1.57352,0.72993,0.56215,0.35561,0.26591,2016
Uruguay,6.545,1.18157,0.72183,0.54388,0.21394,0.18056,2016
Malta,6.488,1.30782,0.80315,0.54994,0.17554,0.56237,2016
Colombia,6.481,1.03032,0.59659,0.44735,0.05399,0.15626,2016
France,6.478,1.39488,0.83795,0.46562,0.17808,0.1216,2016
Thailand,6.474,1.0893,0.64915,0.49553,0.02833,0.58696,2016
Saudi Arabia,6.379,1.48953,0.59267,0.37904,0.30008,0.15457,2016
Taiwan,6.379,1.39729,0.79565,0.32377,0.0663,0.25495,2016
Qatar,6.375,1.82427,0.71723,0.56679,0.48049,0.32388,2016
Spain,6.361,1.34253,0.87896,0.37545,0.06137,0.17665,2016
Algeria,6.355,1.05266,0.61804,0.21006,0.16157,0.07044,2016
Guatemala,6.324,0.83454,0.54039,0.50379,0.08701,0.28808,2016
Suriname,6.269,1.09686,0.50933,0.52234,0.12692,0.16665,2016
Kuwait,6.239,1.61714,0.63569,0.43166,0.23669,0.15965,2016
Bahrain,6.218,1.44024,0.65696,0.47375,0.25772,0.17147,2016
Trinidad and Tobago,6.168,1.32572,0.52608,0.48453,0.01241,0.31935,2016
Venezuela,6.084,1.13367,0.61904,0.19847,0.08304,0.0425,2016
Slovakia,6.078,1.27973,0.70367,0.23391,0.02947,0.13837,2016
El Salvador,6.068,0.8737,0.596,0.37269,0.10613,0.08877,2016
Malaysia,6.005,1.25142,0.62366,0.39031,0.09081,0.41474,2016
Nicaragua,5.992,0.69384,0.65213,0.46582,0.16292,0.29773,2016
Uzbekistan,5.987,0.73591,0.50163,0.60848,0.28333,0.34326,2016
Italy,5.977,1.35495,0.85102,0.18827,0.02556,0.16684,2016
Ecuador,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,2016
Belize,5.956,0.87616,0.45569,0.51231,0.10771,0.23684,2016
Japan,5.921,1.38007,0.91491,0.46761,0.18985,0.10224,2016
Kazakhstan,5.919,1.22943,0.57386,0.4052,0.11132,0.15011,2016
Moldova,5.897,0.69177,0.52309,0.25202,0.01903,0.19997,2016
Russia,5.856,1.23228,0.58991,0.32682,0.03586,0.02736,2016
Poland,5.835,1.24585,0.69058,0.4519,0.055,0.14443,2016
South Korea,5.835,1.35948,0.88645,0.25168,0.07716,0.18824,2016
Bolivia,5.822,0.79422,0.4697,0.50961,0.07746,0.21698,2016
Lithuania,5.813,1.2692,0.64674,0.18929,0.0182,0.02025,2016
Belarus,5.802,1.13062,0.63104,0.29091,0.17457,0.13942,2016
North Cyprus,5.771,1.31141,0.84142,0.43596,0.16578,0.26322,2016
Slovenia,5.768,1.29947,0.79151,0.53164,0.03635,0.25738,2016
